,User ID,User's Cover Picture,User's Name,User's Handle,Description,Followers,Verified,Likes
0,6748458643983238149,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/01d747eeb63f0cef2cc05a0099ab74e3~c5_100x100.jpeg?x-expires=1622862000&x-signature=z%2B7lgT7KXG1ZVWdWlVV%2Fmiijz5Y%3D,Bella Poarch,@bellapoarch,BUILD A BITCH MUSIC VIDEO OUT NOW😈,71400000.0,True,1600000000
1,5831967,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/0a0242e5f906bf9301f859c568b5ecc4~c5_100x100.jpeg?x-expires=1622862000&x-signature=e4SAi3KVZ5ervw1NyqSc%2BblX%2FSM%3D,charli d’amelio,@charlidamelio,,116900000.0,True,9400000000
2,6739078402710553605,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1658853392415749~c5_100x100.jpeg?x-expires=1622862000&x-signature=XTME3djP0uM9iv3Cm58LizZCBYs%3D,Dr. Daniel Aronov,@dr.danielaronov,See ALL my surgeries on my Instagram! INQUIRIES? 👉 DM me on Instagram,12300000.0,True,214900000
3,6727327145951183878,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1646315618666501~c5_100x100.jpeg?x-expires=1622862000&x-signature=qyZGsiPkKiePWBZImvyHH4%2FtgjA%3D,Will Smith,@willsmith,Same kid from West Philly.,54900000.0,True,332500000
4,6703550784929793030,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/69e3328223da5577e78ce7f33729c2dd~c5_100x100.jpeg?x-expires=1622862000&x-signature=WG%2Fh6Pvu7LckhqWDP1ff0MF6r7Y%3D,addison rae,@addisonre,OBSESSED out on all platforms.,80800000.0,True,5200000000
5,6587535917023182853,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/22119f863eae7e35852cdf7b41efe20a~c5_100x100.jpeg?x-expires=1622862000&x-signature=9Oj%2BUNmmNbt3aMuYqTKcXaGvpI0%3D,Daniel LaBelle,@daniel.labelle,,19700000.0,True,421600000
6,6669716864531054598,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9cb32fc5f2def0dc269a28f3af700861~c5_100x100.jpeg?x-expires=1622862000&x-signature=o1g8M5v73Ixoo3FKwLDGGEo0D%2B0%3D,Brody Wellmaker,@brodywellmaker,"Trying to sneak my way into Hollywood 🤫 
brodywellmaker@viralnationtalent.com",11800000.0,True,328100000
7,6699542567460389894,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1635689550192645~c5_100x100.jpeg?x-expires=1622862000&x-signature=OFsNhxM7LM%2FD%2FZhFRNW5KLZXPxo%3D,Jay Brewer,@jayprehistoricpets,Sub to my YouTube for even more animal fun see you here on TikTok tomorrow 🤗🙌,13400000.0,True,170600000
8,6663294979903422470,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1627299377282054~c5_100x100.jpeg?x-expires=1622862000&x-signature=PQYUf2nbK2AGobeiDaSrAJikMOQ%3D,ESPN,@espn,You won’t regret following! 🔥,16400000.0,True,1100000000
9,84635664075374592,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1635628995991557~c5_100x100.jpeg?x-expires=1622862000&x-signature=75gGCGxiSraEDfo9Cn0XwKbqEN0%3D,lizzo,@lizzo,100% that bitch,16000000.0,True,493400000
10,6654362767867265030,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9291601308707957042cdedd2b77a85e~c5_100x100.jpeg?x-expires=1622862000&x-signature=IqCMFzgNLmWhMA%2BtOspJES2aNAs%3D,Kylie Jenner ,@kyliejenner,The official account of Kylie Jenner,32100000.0,True,369400000
11,7239462,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/5cfe0c2045df1c1cee0aec9a96cf0cce~c5_100x100.jpeg?x-expires=1622862000&x-signature=bz2DbhFoTT7miVyfHT0XVCvzG2k%3D,Malu Trevejo,@malutrevejo,"18💜♎️ 🇨🇺 🇪🇸 
I’m back :) 🦋",17400000.0,True,439200000
12,6904838098921440262,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/aed02abd1690b964d48b79606e83526f~c5_100x100.jpeg?x-expires=1622862000&x-signature=mtm%2Fj1nsNQMcF%2F2CFCO1mOB7V8A%3D,northeasterner,@northeasterner,Follow me to watch more food video,5300000.0,False,77400000
