,User ID,User's Cover Picture,User's Name,User's Handle,Description,Likes,Verified,Followers
0,6748458643983238149,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/01d747eeb63f0cef2cc05a0099ab74e3~c5_100x100.jpeg?x-expires=1623369600&x-signature=EAyIP%2FJbtJDA3RDusvKAljOcyxY%3D,Bella Poarch,@bellapoarch,BUILD A BITCH MUSIC VIDEO OUT NOW😈,1600000000,True,72300000.0
1,5831967,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/0a0242e5f906bf9301f859c568b5ecc4~c5_100x100.jpeg?x-expires=1623369600&x-signature=xao%2Fv1JCJsX%2BhOpNUY2CXJqsrWA%3D,Charli D’Amelio,@charlidamelio,,9400000000,True,117300000.0
2,6703550784929793030,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/69e3328223da5577e78ce7f33729c2dd~c5_100x100.jpeg?x-expires=1623369600&x-signature=aRlmrn%2BQjZEGnI4NU54UOLPsbNY%3D,Addison Rae,@addisonre,OBSESSED out on all platforms.,5200000000,True,80900000.0
3,6780564068844880902,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/626784dddbff91e8db9e179949622a53~c5_100x100.jpeg?x-expires=1623369600&x-signature=FC5g%2Bw%2F0yma5TH9KjE%2Bte7x8lT8%3D,Mia Khalifa,@miakhalifa,Immigrant 🇱🇧 Not Malala. Inquiries@Myotis.co,297900000,True,23500000.0
4,6663294979903422470,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1627299377282054~c5_100x100.jpeg?x-expires=1623369600&x-signature=xbwx4y50tS7%2BH9mr9n9C3Ek4KEQ%3D,Espn,@espn,You won’t regret following! 🔥,1100000000,True,16700000.0
5,6654362767867265030,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9291601308707957042cdedd2b77a85e~c5_100x100.jpeg?x-expires=1623369600&x-signature=yNGb7zXDt7b%2FHqud98Y1HhG%2Bh54%3D,Kylie Jenner ,@kyliejenner,The official account of Kylie Jenner,373700000,True,32400000.0
6,6739078402710553605,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1658853392415749~c5_100x100.jpeg?x-expires=1623369600&x-signature=ziHnissHb0xASrGmZe7aI62jZCs%3D,Dr. Daniel Aronov,@dr.danielaronov,See ALL my surgeries on my Instagram! INQUIRIES? 👉 DM me on Instagram,222100000,True,12500000.0
7,6957597538883142661,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/150631fa8a769746d8fdeb8494ccf786~c5_100x100.jpeg?x-expires=1623369600&x-signature=whKtG%2FLTPqBb1UjhSzTmRmIIPSw%3D,Lights Are Off,@lights.are.off,"LIGHTS ARE OFF
I bring nightmares to life everynight 💀
3D Animator",74100000,False,6400000.0
8,6669716864531054598,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9cb32fc5f2def0dc269a28f3af700861~c5_100x100.jpeg?x-expires=1623369600&x-signature=%2Bf5Y3epyZAMpRnxx07UH3Li5NaI%3D,Brody Wellmaker,@brodywellmaker,"Trying to sneak my way into Hollywood 🤫 
brodywellmaker@viralnationtalent.com",339600000,True,12300000.0
9,6905042173626008581,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c6a38cb1f862e960562f15f11b9fb030~c5_100x100.jpeg?x-expires=1623369600&x-signature=HzPjjCTsezp35rgNceCEa%2BQc2Bs%3D,Monkey Keer,@monkeykeer,Thanks to all friends who follow me.,69200000,False,6800000.0
